ID_REF,DATA,TIPO,CATEGORIA,CONTEUDO,RACIONAL,STATUS,AGENTE_RESPONSAVEL,LINK
DEC-EOL-028,2026-05-25,DEC,Arquitetura,GROK-DIR-001 Maestro realocado para o Núcleo de Diretoria como orquestrador.,Função de orquestração auditoria e governança da rede é compati­vel com Diretoria não com Gerência.,Aprovado,Presidência,
DEC-EOL-029,2026-05-25,DEC,Arquitetura,01_MEMORIA_VIVA unifica registros de Decisões e Iniciativas em arquivo único com filtro por TIPO.,Simplicidade máxima. Maestro alimenta automaticamente. Filtro resolve separação quando necessário.,Aprovado,Presidência,
DEC-EOL-030,2026-05-25,DEC,Arquitetura,DQs migradas para 02_PATRIMONIO_INTELECTUAL expandido como repositório de conhecimento.,DQ é conhecimento proprietário — pertence ao repositório de conhecimento não ao registro de decisões.,Aprovado,Presidência,
DEC-EOL-031,2026-05-25,DEC,Arquitetura,02_PATRIMONIO_INTELECTUAL recebe campo TIPO para classificar entradas como TERMO ATIVO METODO DQ ou DOSSIE.,Permite filtro simples e expansão futura sem criar novos arquivos.,Aprovado,Presidência,
PR-001,2026-05-27,PR,Estrutura,Estruturação dos Núcleos EU+ V2.1 A transição de 4 arquivos EOL para arquitetura de 4 núcleos.,Buscando simplificar os processos.,Concluido,Presidência,
PR-002,2026-05-27,PR,Documentação,Emissão da Constituição EU+ V2.1 Final como documento superior e referência-mãe do ecossistema.,Validado e revisado.,Concluido,Presidência,Constituição EU+ V2.1
PR-003,2026-05-27,PR,Documentação,Emissão da Carta de Identidade Institucional V2.1 como expressão normativa e identitária do EU+.,Validado e revisado.,Concluido,Presidência,Carta de Identidade V2.1
PR-004,2026-05-27,PR,Documentação,Emissão do Sistema de Governança Institucional EU+ V1.0 como Nivel 2 da hierarquia documental.,Validado e revisado.,Concluido,Presidência,Sistema de Governança V1.0
PR-005,2026-05-27,PR,Arquitetura,Higienização terminológica para remoção de vesti­gios EOL e substituição por terminologia EU+ V2.1.,Validado e revisado.,Concluido,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-006,2026-05-27,PR,Agentes,Inclusão de Genspark NotebookLM Manus e PixVerse como motores de IA disponi­veis no ecossistema.,Validado e revisado.,Ativo,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-007,2026-05-27,PR,Arquitetura,Desvinculação de funções por LLM para agentes mapeados por performance e alinhamento não por marca.,Validado e revisado.,Concluido,Presidência,03_MAPA_DE_INTELIGENCIAS
PR-008,2026-05-27,PR,Estratégico,Derivação dos desdobramentos operacionais do Projeto-Mãe EU+ V1.0 por frente: institucional comercial conteúdo/legado e inteligência/memória.,Validado e revisado.,Ativo,Presidência,01_MEMORIA_VIVA
PR-009,2026-05-27,PR,Patrimônio,Criação do Dossiê Bruno Vieira V1.0 como memória viva do perfil executivo da Presidência.,Validado e revisado.,Ativo,GROK-DIR-001,GitHub EU+ Master
PR-010,2026-05-27,PR,GitHub,Upload dos núcleos EU+ V2.1 no GitHub para acesso por todas as LLMs do ecossistema.,Validado e revisado.,Concluido,Presidência,GitHub EU+ Master
PR-EOL-001,2026-05-24,PR,Arquitetura,Simplificação da base EOL redução de 12 pastas para 4 arquivos mestres depois para 4 núcleos.,Validado e revisado.,Concluido,GROK-DIR-001,01_MEMORIA_VIVA
PR-EOL-012,2026-05-24,PR,Governança,Revisão e ativação dos prompts V3/V4 de todos os agentes do ecossistema.,Validado e revisado.,Ativo,CLAUDE-BOARD-006,03_MAPA_DE_INTELIGENCIAS
PR-EOL-019,2026-05-25,PR,Reestruturação,Migração dos agentes Gemini para Grok como plataforma principal de execução.,Validado e revisado.,Ativo,GROK-DIR-001,03_MAPA_DE_INTELIGENCIAS
PR-GER-001,2026-05-25,PR,Produto,HTML funcional para sistema operacional gestão de food.,Validado e revisado.,Ativo,AG-GPT-GER-006,A definir
