TIPO,PREFIXO_ID,NOME,DESCRICAO,METODOLOGIA,EXEMPLO_USO_REAL,APRENDIZADO_ASSOCIADO,AGENTE_ORIGEM,VERSAO,LINK_ATIVO
TERMO,03-MI,Mapa de Inteligências,Documentação de competências comportamentos observados e aprendizados dos agentes.,Armazena perfil completo de cada agente: especialidade casos de uso aprendizados e limitações.,Substitui EOL_03_REGISTRY. Expandido com conhecimento real dos agentes.,Agentes mapeados com conhecimento real operam com maior coerência e menor sobreposição.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
ATIVO,AT-001,Gestão Evolutiva™,Metodologia de governança focada no amadurecimento contínuo e orgânico dos processos do Grupo EU+.,IA expande limites operacionais sem perder alinhamento executivo. Adaptação modular baseada em respostas reais do ambiente.,Redução de 12 pastas para 4 arquivos para 3 núcleos. Cada versão mais simples e mais eficaz.,Sistemas simples escalam melhor. Complexidade acumulada gera falha futura.,GPTBOARD-001,2.1,02_PATRIMONIO_INTELECTUAL
ATIVO,AT-002,Estoque Real™,Conceito de inventário baseado em evidência real eliminando falsas percepções de progresso.,Mapeamento frio e auditável de competências recursos disponíveis e entregáveis consolidados. Separa o que existe do que é intenção.,Diagnóstico do sistema anterior como registro vs inteligência — evidência de que não entregava valor real.,Evidência prática vale mais que teoria. Intenção não é ativo.,GPTBOARD-001,2.1,02_PATRIMONIO_INTELECTUAL
ATIVO,AT-003,Rotina Guiada de Operação™,Protocolo de execução assistida por agentes que garante constância qualidade e rastreabilidade.,Orquestração da interação entre Presidência e rede de agentes com registro na Memória Viva.,Ciclo de acionamento dos agentes: Inventário → Priorização → Capital → Curador → Briefing.,Rotina supera esforço pontual. Previsibilidade é evidência executiva.,GROK-DIR-001,2.1,02_PATRIMONIO_INTELECTUAL
ATIVO,AT-004,Consultor EU+™,Modelo de atuação executiva de alta performance suportado por infraestrutura analítica.,Foco na aceleração de resultados e monetização de competências individuais com apoio de agentes.,Bruno Vieira como caso zero — gestor comercial estruturando operação B2B com zero budget.,Competência operacional comprovada é ativo. Precisa ser traduzida em linguagem executiva para ser percebida.,GPTBOARD-003,2.1,02_PATRIMONIO_INTELECTUAL
ATIVO,AT-005,CEO Mentor™,Arquétipo de Conselheiro Estratégico de IA que preserva visão de longo prazo acima das urgências operacionais.,Modelo de agente que atua como principal conselheiro da Presidência. Diagnostica gaps sistêmicos. Propõe mudanças de paradigma.,Diagnóstico do sistema anterior como banco de dados vs motor de decisão. Proposta de migração para inteligência executiva.,A pergunta correta vale mais que a resposta rápida. Legado supera atividade.,GPTBOARD-001,2.1,Constituição EU+ V2.1
ATIVO,AT-006,Arquitetura de Memória Viva™,Transição do controle rígido para a preservação orgânica de conhecimento em núcleos vivos.,4 núcleos: 00_AREA_TRANSITORIA (buffer) + 01_MEMORIA_VIVA + 02_PATRIMONIO_INTELECTUAL + 03_MAPA_DE_INTELIGENCIAS.,Substituição da estrutura EOL rígida por núcleos fluidos alinhados à Constituição EU+ V2.1.,Conhecimento acumulado vale mais que controle operacional. Sistema poroso supera estrutura rígida.,Presidência,2.1,Constituição EU+ V2.1
METODO,MET-001,Teste de Identidade EU+,7 critérios objetivos para avaliar aderência de qualquer iniciativa aos princípios fundacionais do Grupo EU+.,Responder SIM ou NÃO: 1-Alinhado à Constituição? 2-Alinhado à Carta de Identidade? 3-Fortalece frente oficial? 4-Reduz complexidade? 5-Gera ativo permanente? 6-Amplia autonomia? 7-Pode ser registrado na Memória Viva? 7 positivas=Alta Aderência. 5-6=Parcial. 4 ou menos=Recomendação Negativa.,Avaliação da proposta de produto para empresas de médio porte — reprovada por aumentar carga operacional.,Critério objetivo supera julgamento subjetivo. Constituição prevalece sobre entusiasmo momentâneo.,GEMINI-DIR-001,2.1,Constituição EU+ V2.1
METODO,MET-002,Protocolo de Versionamento EU+,Sistema de geração automática de snapshots versionados do estado do ecossistema.,Maestro lê 03_MAPA_DE_INTELIGENCIAS e 02_PATRIMONIO_INTELECTUAL no GitHub. Detecta delta. Gera DECs e Iniciativas automaticamente. Nomeia snapshot: EU+_SNAPSHOT_vX.X_YYYY-MM-DD.,Reestruturação V1 para V2.1 gerando nova arquitetura de núcleos.,Versionamento automático reduz dependência de intervenção manual da Presidência.,GROK-DIR-001,2.1,GitHub EU+ Master
METODO,MET-003,Escala Hierárquica Executiva,Régua de 11 níveis para classificar maturidade profissional de forma objetiva.,1-Operacional 2-Supervisão 3-Coordenação 4-Gerência 5-Gerência Sênior 6-Diretor Inicial 7-Diretor Médio 8-Diretor Sênior 9-VP 10-C-Level 11-CEO Corporativo. Elimina subjetividade.,Bruno Vieira — diagnóstico de posicionamento atual e próximo salto até 18/01/2027.,Competência é medida por recorrência e resultado observável.,AG-GPT-GER-001,2.1,03_MAPA_DE_INTELIGENCIAS
METODO,MET-004,Framework de Resposta Executiva,Estrutura padrão para organizar raciocínio verbal executivo em segundos.,Problema → Hipótese → Prioridade → Ação → Resultado esperado. Máximo 60 segundos.,Treino com cenário: custos cresceram 18% em 6 meses. Resposta em 3 frases.,Clareza supera completude. Executivos respondem com estrutura não com narrativa.,AG-GPT-GER-008,2.1,03_MAPA_DE_INTELIGENCIAS
METODO,MET-005,Hierarquia Documental Oficial EU+,5 níveis oficiais para resolução de conflitos entre documentos do ecossistema.,Nível 1 Fundacional: Constituição + Carta de Identidade. Nível 2 Governança: Sistema de Governança Institucional. Nível 3 Estratégico: Plano de Negócios + Frameworks. Nível 4 Patrimonial: Patrimônio Intelectual + Metodologias. Nível 5 Operacional: Registros Processos Fluxos. Documento superior prevalece sempre.,Conflito entre rigidez da estrutura V1 e fluidez da V2.1 — resolvido pela Constituição como norma soberana.,Hierarquia documental explícita elimina ambiguidade sem depender da Presidência.,GROK-DIR-001,2.1,01_MEMORIA_VIVA
DQ,DQ-001,Evidência Prática Vale Mais que Teoria,Priorizar prova real sobre conceitos abstratos em todas as entregas.,Antes de qualquer afirmação perguntar: qual é a evidência concreta? Dado factual separado de avaliação analítica.,Diagnóstico do sistema anterior baseado em dados reais — não em teoria sobre como deveria funcionar.,Sistemas construídos sobre evidência escalam. Sistemas sobre teoria colapsam no primeiro contato com a realidade.,Presidência,2.1,01_MEMORIA_VIVA
DQ,DQ-002,Clareza Antes de Velocidade,Priorizar compreensão inequívoca antes de rapidez de entrega.,Toda entrega deve ser compreensível sem contexto adicional. Ambiguidade é retrabalho disfarçado.,Revisão dos prompts de agentes — cada versão mais clara que a anterior mesmo que mais demorada.,Velocidade sem clareza gera retrabalho. Clareza primeiro sempre.,Presidência,2.1,01_MEMORIA_VIVA
DQ,DQ-003,Próximo Passo Concreto Obrigatório,Toda entrega termina com uma ação objetiva com responsável e prazo.,Não existe entrega sem next step. O próximo passo deve ser específico mensurável e atribuído.,Todo output de agente termina com PRÓXIMO PASSO CONCRETO definido.,Entrega sem próximo passo é informação. Entrega com próximo passo é inteligência.,Presidência,2.1,01_MEMORIA_VIVA
DQ,DQ-004,Formato Executivo Sem Introduções,Respostas diretas sem preâmbulos prolixos ou introduções desnecessárias.,Comece pela resposta. Contexto vem depois se necessário.,Padrão de resposta do GROK-DIR-001 — direto ao ponto com estrutura clara.,Respeitar o tempo e a energia cognitiva da Presidência é responsabilidade de cada agente.,Presidência,2.1,01_MEMORIA_VIVA
DQ,DQ-005,Nenhum Agente Inventa Dados ou Nomenclatura,Proibição absoluta de criar IDs termos ou agentes fora do Patrimônio Intelectual ou Mapa de Inteligências.,Antes de usar qualquer ID verificar se existe nos núcleos oficiais. Em caso de dúvida registrar na Área Transitória.,Agente gerou 3 entidades inexistentes — violação identificada e corrigida.,Integridade do sistema depende da disciplina de não inventar. Um dado falso corrompe toda a cadeia.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
DQ,DQ-006,Critério Supremo de Avaliação,Toda iniciativa deve responder se fortalece o propósito e os ativos do Grupo EU+ ou apenas consome energia sem ampliar legado.,Aplicar como filtro antes de qualquer nova iniciativa projeto ou agente. Pergunta: Isto constrói o EU+ ou apenas ocupa o Bruno?,Proposta de consultoria para empresas — reprovada por aumentar carga operacional da Presidência.,Iniciativas que não ampliam legado consomem energia sem gerar ativo permanente.,GEMINI-DIR-001,2.1,Constituição EU+ V2.1
DQ,DQ-007,IA Como Amplificador Humano,O capital humano retém o direcionamento estratégico enquanto a IA multiplica escala e eficiência técnica.,Agentes executam. Presidência decide. Nenhum agente substitui julgamento humano final.,Maestro orquestra. Agentes executam. Bruno valida. Tecnologia como alavanca do EU+.,IA amplifica discernimento — não substitui. Velocidade de execução não justifica ausência de julgamento humano.,Presidência,2.1,Constituição EU+ V2.1
DQ,DQ-008,Legado Supera Atividade,Esforço que gera apenas consumo imediato é desperdício frente ao acervo permanente.,Avaliar cada atividade: gera ativo permanente ou apenas resolve o problema de hoje?,Decisão de construir GitHub como memória externa permanente.,O valor de uma organização é medido pelo acervo permanente que ela deixa.,Presidência,2.1,Constituição EU+ V2.1
DQ,DQ-009,Registro Antes de Memória,Clareza institucional nasce do hábito de documentar fatos escolhas e aprendizados imediatamente.,Registrar antes de avançar. A memória humana falha distorce e omite. O registro não.,Sistema EU+ criado para eliminar dependência da memória da Presidência.,Conhecimento não documentado é conhecimento perdido.,Presidência,2.1,01_MEMORIA_VIVA
DQ,DQ-010,Governança Serve à Inteligência,A governança EU+ existe para servir à inteligência e não o contrário.,Toda norma deve justificar-se através de clareza utilidade e redução de ruído. Estruturas que geram burocracia são arquivadas.,Sistema de Governança Institucional V1.0 — define limites da governança para proteger a fluidez do ecossistema.,Burocracia é o maior inimigo do legado. Simplicidade é sofisticação.,Presidência,2.1,Sistema de Governança Institucional V1.0
DQ,DQ-011,Conhecimento Vivo Supera Formalização Rígida,A prioridade institucional é a assimilação de inteligência útil acima de formalização excessiva.,Aprendizados emergem da prática. O sistema deve ser poroso a contribuições orgânicas sem exigir processos complexos.,Transição da estrutura EOL rígida para os núcleos fluidos EU+ V2.1.,Sistemas porosos aprendem. Sistemas rígidos engessam.,Presidência,2.1,Sistema de Governança Institucional V1.0
DOSSIE,DC-BRUNO-001,Dossiê Bruno Vieira,Memória viva do perfil executivo da Presidência. Todo agente lê antes de operar e contribui após a sessão.,Alimentado por extrações dos agentes após cada sessão. Versionado como DC-BRUNO-vX.X. Armazenado no GitHub.,Diagnóstico AG-GPT-GER-001: 3 gaps — visão financeira DRE/CMV estruturação de resposta executiva.,A memória do que foi descoberto sobre o Bruno é o ativo mais valioso do ecossistema.,AG-GPT-GER-001,0.1,GitHub EU+ Master — pendente criação
